Category,Long,Lat
RFI,-79.3821182,43.6590996
RFI,-79.4155731,43.7797699
RFI,-79.3930054,43.640564
RFI,-79.3236389,43.6833687
RFI,-79.3761978,43.6501427
RFI,-79.3933563,43.7911301
RFI,-79.4299774,43.7200356
RFI,-79.3496246,43.6780128
RFI,-79.3969574,43.699791
RFI,-79.3969574,43.699791
RFI,-79.5669327,43.7406387
RFI,-79.2297134,43.7274666
RFI,-79.5220413,43.6459274
RFI,-79.3821182,43.6590996
RFI,-79.3719101,43.6504669
RFI,-79.3026428,43.7247276
RFI,-79.1900253,43.7671623
RFI,-79.4523315,43.6952438
RFI,-79.4038696,43.6666603
RFI,-79.360405,43.7548523
RFI,-79.4512482,43.6657486
RFI,-79.360405,43.7548523
RFI,-79.4844818,43.649334
RFI,-79.30439,43.7795639
RFI,-79.432785,43.6994591
RFI,-79.5746613,43.7281418
RFI,-79.3766632,43.6529808
RFI,-79.3766632,43.6529808
RFI,-79.5052719,43.6007652
RFI,-79.4430847,43.6779633
RFI,-79.5162048,43.700161
RFI,-79.4524536,43.6563225
RFI,-79.4751968,43.6708565
RFI,-79.3790741,43.6502838
RFI,-79.3955688,43.64674
RFI,-79.4215469,43.6716232
RFI,-79.1409149,43.7896614
RFI,-79.2514954,43.7721443
RFI,-79.5179672,43.6228943
RFI,-79.3847046,43.805809
RFI,-79.4910507,43.763504
RFI,-79.4156036,43.654953
RFI,-79.4028397,43.7274361
RFI,-79.2785721,43.7853508
RFI,-79.2785721,43.7853508
RFI,-79.3499527,43.7357941
RFI,-79.2894897,43.8068886
RFI,-79.5760574,43.6304665
RFI,-79.4405365,43.7551231
RFI,-79.3821182,43.6590996
RFI,-79.5892334,43.7410965
RFI,-79.5246429,43.6857834
RFI,-79.3588715,43.6762047
RFI,-79.4864502,43.7447815
RFI,-79.4512482,43.6657486
RFI,-79.4844818,43.649334
RFI,-79.5758972,43.6425629
RFI,-79.5758972,43.6425629
RFI,-79.5758972,43.6425629
RFI,-79.5758972,43.6425629
RFI,-79.2711105,43.7679291
RFI,-79.416893,43.7254219
RFI,-79.416893,43.7254219
RFI,-79.4173508,43.7870712
RFI,-79.4173508,43.7870712
RFI,-79.2838669,43.7731895
RFI,-79.3471375,43.7354164
RFI,-79.3496246,43.6780128
RFI,-79.3455887,43.7338295
RFI,-79.3455887,43.7338295
RFI,-79.4077225,43.6564827
RFI,-79.3837662,43.6557198
RFI,-79.3695221,43.7964935
RFI,-79.4487152,43.6454506
RFI,-79.4256592,43.6619873
RFI,-79.4256592,43.6619873
RFI,-79.1409149,43.7896614
RFI,-79.4909134,43.6875725
RFI,-79.38311,43.6613731
RFI,-79.2810745,43.7658043
RFI,-79.4898605,43.68713
RFI,-79.3009567,43.7241135
RFI,-79.344841,43.6789551
RFI,-79.404007,43.6471901
RFI,-79.2909317,43.7098541
RFI,-79.5177917,43.7006035
RFI,-79.404007,43.6471901
RFI,-79.4476852,43.6962624
RFI,-79.3948898,43.6900024
RFI,-79.3294907,43.6977692
RFI,-79.4837036,43.726284
RFI,-79.4150162,43.6414375
RFI,-79.4156036,43.654953
RFI,-79.3580856,43.6754036
RFI,-79.5485764,43.6107407
RFI,-79.4215469,43.6716232
RFI,-79.2536545,43.7716827
RFI,-79.2536545,43.7716827
RFI,-79.1409149,43.7896614
RFI,-79.248085,43.7366982
RFI,-79.248085,43.7366982
RFI,-79.4179077,43.7279053
RFI,-79.38311,43.6613731
RFI,-79.2914658,43.7269974
RFI,-79.4829712,43.6496887
RFI,-79.4829712,43.6496887
RFI,-79.421196,43.6437263
RFI,-79.5395584,43.6408958
RFI,-79.4304199,43.6609459
RFI,-79.4763031,43.6511383
RFI,-79.5613022,43.6907425
RFI,-79.3855591,43.6460571
RFI,-79.5315094,43.7140923
RFI,-79.4864502,43.7447815
RFI,-79.4038696,43.6666603
RFI,-79.3843689,43.7867584
RFI,-79.420784,43.649334
RFI,-79.420784,43.649334
RFI,-79.5287476,43.6487732
RFI,-79.5287476,43.6487732
RFI,-79.4748688,43.6818352
RFI,-79.3157654,43.7967758
RFI,-79.4273758,43.6389618
RFI,-79.4020233,43.6581116
RFI,-79.3394318,43.6800156
RFI,-79.420784,43.649334
RFI,-79.3015976,43.6876793
RFI,-79.5124512,43.6471252
RFI,-79.42556,43.7009964
RFI,-79.5080032,43.6481056
RFI,-79.2275391,43.7961502
RFI,-79.4790878,43.6505051
RFI,-79.5982132,43.7227478
RFI,-79.4077072,43.6464691
RFI,-79.1409149,43.7896614
RFI,-79.1409149,43.7896614
RFI,-79.4512482,43.6657486
RFI,-79.5077591,43.6481705
RFI,-79.4132309,43.7036133
RFI,-79.5242538,43.6215172
RFI,-79.4112167,43.6651192
RFI,-79.531189,43.6624146
RFI,-79.4034653,43.7299347
RFI,-79.4034653,43.7299347
RFI,-79.3484802,43.6782379
RFI,-79.1706467,43.7833099
RFI,-79.3837662,43.6557198
RFI,-79.2967682,43.6893082
RFI,-79.2514954,43.7721443
RFI,-79.5258636,43.7032242
RFI,-79.5479355,43.6810417
RFI,-79.5663376,43.7393913
RFI,-79.5665817,43.7374573
RFI,-79.2705688,43.7983589
RFI,-79.2514954,43.7721443
RFI,-79.2705688,43.7983589
RFI,-79.510025,43.6476707
RFI,-79.1667252,43.804718
RFI,-79.5325012,43.6629715
RFI,-79.3768539,43.6723595
RFI,-79.4893112,43.613781
RFI,-79.4256592,43.6619873
RFI,-79.4114685,43.6407585
RFI,-79.4294357,43.6611519
RFI,-79.3127747,43.685688
RFI,-79.3851929,43.6592293
RFI,-79.4018707,43.7506523
RFI,-79.4379196,43.6403351
RFI,-79.4021072,43.6630554
RFI,-79.4844818,43.649334
RFI,-79.3875122,43.6506729
RFI,-79.4111557,43.7623558
RFI,-79.4126129,43.6554642
RFI,-79.4427338,43.6583405
RFI,-79.414856,43.664341
RFI,-79.3733063,43.6486778
RFI,-79.3138809,43.7921829
RFI,-79.3138809,43.7921829
RFI,-79.4353638,43.6598854
RFI,-79.4353638,43.6598854
RFI,-79.3944321,43.6402054
RFI,-79.2275391,43.7961502
RFI,-79.2709198,43.6877594
RFI,-79.4898605,43.68713
RFI,-79.4835663,43.6689949
RFI,-79.1527786,43.797863
RFI,-79.4493332,43.6959
RFI,-79.4493332,43.6959
RFI,-79.2780685,43.7049942
RFI,-79.2882614,43.7832909
RFI,-79.3941422,43.6880836
RFI,-79.3821182,43.6590996
RFI,-79.5124512,43.6471252
RFI,-79.4630508,43.6928444
RFI,-79.5406265,43.6406441
RFI,-79.5770645,43.6423645
RFI,-79.3407135,43.6715126
RFI,-79.3127747,43.685688
RFI,-79.5091705,43.64785
RFI,-79.3222122,43.7735062
RFI,-79.3983688,43.7067337
RFI,-79.531189,43.6624146
RFI,-79.3407135,43.6715126
RFI,-79.4430847,43.6779633
RFI,-79.3802795,43.6486511
RFI,-79.4356003,43.6498909
RFI,-79.3898849,43.6562271
RFI,-79.2309036,43.7238693
RFI,-79.5242538,43.6215172
RFI,-79.5242538,43.6215172
RFI,-79.5242538,43.6215172
RFI,-79.2309036,43.7238693
RFI,-79.4790878,43.6505051
RFI,-79.3312378,43.7751007
RFI,-79.4018707,43.7506523
RFI,-79.4820709,43.7266426
RFI,-79.2543335,43.8358841
RFI,-79.3647995,43.7135696
RFI,-79.4763031,43.6511383
RFI,-79.2883606,43.6912346
RFI,-79.3640823,43.7117958
RFI,-79.4129028,43.7692757
RFI,-79.3815842,43.6579094
RFI,-79.4870377,43.6682014
RFI,-79.344841,43.6789551
RFI,-79.344841,43.6789551
RFI,-79.3015976,43.6876793
RFI,-79.4420319,43.735714
RFI,-79.4870377,43.6682014
RFI,-79.445549,43.7839355
RFI,-79.3754196,43.6712799
RFI,-79.5571747,43.6088066
RFI,-79.4028397,43.7274361
RFI,-79.3792572,43.6524429
RFI,-79.3837891,43.6630249
RFI,-79.5179672,43.6228943
RFI,-79.5413589,43.6347389
RFI,-79.5993042,43.7523041
RFI,-79.1868668,43.7706146
RFI,-79.1868668,43.7706146
RFI,-79.1868668,43.7706146
RFI,-79.1868668,43.7706146
RFI,-79.1868668,43.7706146
RFI,-79.4038696,43.6666603
RFI,-79.526741,43.6209221
RFI,-79.526741,43.6209221
RFI,-79.2760468,43.7859306
RFI,-79.4782791,43.7096252
RFI,-79.4782791,43.7096252
RFI,-79.3484802,43.6782379
RFI,-79.432785,43.6994591
RFI,-79.432785,43.6994591
RFI,-79.4366684,43.6405869
RFI,-79.4379196,43.6403351
RFI,-79.1850357,43.7726097
RFI,-79.3015976,43.6876793
RFI,-79.4420319,43.735714
RFI,-79.4420319,43.735714
RFI,-79.4649506,43.7594757
RFI,-79.4748688,43.6818352
RFI,-79.3701401,43.6970482
RFI,-79.4483719,43.6445541
RFI,-79.5289841,43.6856842
RFI,-79.4129028,43.7692757
RFI,-79.5194016,43.7010422
RFI,-79.4179077,43.7279053
RFI,-79.5760574,43.6304665
RFI,-79.4175186,43.7269936
RFI,-79.3821182,43.6590996
RFI,-79.3809586,43.6657257
RFI,-79.3809586,43.6657257
RFI,-79.416893,43.7254219
RFI,-79.2703934,43.8071899
RFI,-79.4835663,43.6689949
RFI,-79.4751968,43.6708565
RFI,-79.5760574,43.6304665
RFI,-79.3437195,43.7758369
RFI,-79.4038696,43.6666603
RFI,-79.4505997,43.6763077
RFI,-79.4835663,43.6689949
RFI,-79.397377,43.6680336
